"t","y","subject","f_pop","dev_true"
0.02,3.708292531359187,1.0,3.2271620781172534,-0.13365153493576806
0.06,3.796695554700217,1.0,3.6775252583428983,-0.3963504518643187
0.1,3.522851135534366,1.0,4.11606797749979,-0.6454663774703007
0.14,3.253325537092316,1.0,4.5351171662602905,-0.8726954011348557
0.18,4.052399835795328,1.0,4.927307179915986,-1.0708144077674944
0.22,3.808818325517671,1.0,5.285695958994759,-1.234023678694961
0.26,4.24750136435338,1.0,5.603874509685646,-1.358206453339467
0.3,4.462613413247125,1.0,5.8760679774997895,-1.4410907961128234
0.34,4.907245619613738,1.0,6.097226720175454,-1.482305124496065
0.38,4.856448619162764,1.0,6.263105943553006,-1.4833252848770515
0.42,5.196535372922001,1.0,6.370332644514525,-1.4473177044217436
0.46,4.663943592278013,1.0,6.416458805257912,-1.3788894854600688
0.5,5.106610954661588,1.0,6.4,-1.2837619483453528
0.54,5.012613792817628,1.0,6.320458805257911,-1.1683887184230148
0.58,4.995535510357156,1.0,6.178332644514525,-1.0395427077082413
0.62,5.231071609466784,1.0,5.975105943553006,-0.9038980612221427
0.66,4.733855516248992,1.0,5.713226720175454,-0.7676332173462511
0.7,4.159940867288214,1.0,5.39606797749979,-0.6360796697737443
0.74,4.816626166590336,1.0,5.027874509685645,-0.5134379175028306
0.78,4.025792872252296,1.0,4.613695958994759,-0.40257764730873125
0.82,4.0775535752445515,1.0,4.159307179915988,-0.30493369282827126
0.86,3.497825065242304,1.0,3.6711171662602915,-0.220503104674508
0.9,3.0045548606478034,1.0,3.1560679774997897,-0.1479421400709142
0.94,2.1802223205251274,1.0,2.6215252583429,-0.08475555112784805
0.98,1.3750264490262878,1.0,2.0751620781172546,-0.027564624441368576
0.02,3.02973386070626,2.0,3.2271620781172534,-0.02785174361210793
0.06,3.7249491683246188,2.0,3.6775252583428983,-0.08046994214861931
0.1,3.759524036386336,2.0,4.11606797749979,-0.1240471925240133
0.14,4.513772097388444,2.0,4.5351171662602905,-0.15325875279352977
0.18,5.1068421037576925,2.0,4.927307179915986,-0.16378616425096112
0.22,5.024699886182264,2.0,5.285695958994759,-0.15262775429022218
0.26,5.1624134291710595,2.0,5.603874509685646,-0.11832414883334541
0.3,5.120532096016877,2.0,5.8760679774997895,-0.061084042515295034
0.34,6.171719101277185,2.0,6.097226720175454,0.01719821331888638
0.38,6.404340578635253,2.0,6.263105943553006,0.113034794097017
0.42,5.950198644558463,2.0,6.370332644514525,0.22154098812636377
0.46,6.495904811445466,2.0,6.416458805257912,0.3367241889867498
0.5,6.577962252486831,2.0,6.4,0.4518474185537554
0.54,7.359137679721248,2.0,6.320458805257911,0.5598447444096042
0.58,7.3981390333592385,2.0,6.178332644514525,0.6537626138948521
0.62,6.7210830929843395,2.0,5.975105943553006,0.7271994158641601
0.66,6.747951814884978,2.0,5.713226720175454,0.7747156091595768
0.7,6.055531925325475,2.0,5.39606797749979,0.7921885234641711
0.74,5.8040028731432045,2.0,5.027874509685645,0.7770893338474236
0.78,5.404862747151239,2.0,4.613695958994759,0.728664522874584
0.82,4.600943526946298,2.0,4.159307179915988,0.6480100724573454
0.86,3.8885134153422487,2.0,3.6711171662602915,0.5380333003281798
0.9,2.9409819618067794,2.0,3.1560679774997897,0.40330425491913413
0.94,3.376345028837803,2.0,2.6215252583429,0.24980546871015752
0.98,2.145396291383677,2.0,2.0751620781172546,0.08459521193004702
0.02,3.3197634449145443,3.0,3.2271620781172534,-0.15074989802516464
0.06,3.3473484920432295,3.0,3.6775252583428983,-0.44873104517283124
0.1,3.2415774284354395,3.0,4.11606797749979,-0.7362834446715049
0.14,3.2779688394369986,3.0,4.5351171662602905,-1.0068720832778852
0.18,3.540697889470295,3.0,4.927307179915986,-1.2545657704746023
0.22,3.3105469457402323,3.0,5.285695958994759,-1.4742352224539843
0.26,4.117863090316734,3.0,5.603874509685646,-1.661710799977528
0.3,4.124324587460158,3.0,5.8760679774997895,-1.8138925839746334
0.34,4.349061224690606,3.0,6.097226720175454,-1.9288082682662064
0.38,3.81998607019419,3.0,6.263105943553006,-2.005617390583705
0.42,4.355640980184331,3.0,6.370332644514525,-2.0445635237142357
0.46,4.295809714835718,3.0,6.416458805257912,-2.04687901758684
0.5,5.141224623000367,3.0,6.4,-2.014649538616954
0.54,4.727772639165621,3.0,6.320458805257911,-1.9506478329297796
0.58,4.81342445401581,3.0,6.178332644514525,-1.8581477136456594
0.62,4.24373667023684,3.0,5.975105943553006,-1.7407301460396125
0.66,4.277630287989959,3.0,5.713226720175454,-1.6020934290084428
0.7,4.78796585106778,3.0,5.39606797749979,-1.4458788449268922
0.74,3.689637663262912,3.0,5.027874509685645,-1.2755218178240342
0.78,2.7853748501213254,3.0,4.613695958994759,-1.0941366712471674
0.82,3.0414038352562485,3.0,4.159307179915988,-0.9044406400914722
0.86,2.5464708689267184,3.0,3.6711171662602915,-0.7087200233305695
0.9,2.988135219736607,3.0,3.1560679774997897,-0.5088384456130666
0.94,2.504956065073436,3.0,2.6215252583429,-0.30628431277830626
0.98,2.10789981584195,3.0,2.0751620781172546,-0.10225188437333578
0.02,2.979589314902479,4.0,3.2271620781172534,0.03266885613310679
0.06,4.133899688135463,4.0,3.6775252583428983,0.09651906194203151
0.1,3.9560783629712915,4.0,4.11606797749979,0.15599130037161704
0.14,4.339907790794019,4.0,4.5351171662602905,0.2084435943361031
0.18,5.885108581755107,4.0,4.927307179915986,0.25163118877367213
0.22,5.176690862187912,4.0,5.285695958994759,0.2838310217207434
0.26,5.440864994363633,4.0,5.603874509685646,0.30393436869742746
0.3,5.89008608823249,4.0,5.8760679774997895,0.3115020855839219
0.34,5.986190853820931,4.0,6.097226720175454,0.3067792063239937
0.38,6.722062434800835,4.0,6.263105943553006,0.2906681831723728
0.42,6.550451562460896,4.0,6.370332644514525,0.2646626301068413
0.46,6.666652005403927,4.0,6.416458805257912,0.2307458831939145
0.5,6.393520457419805,4.0,6.4,0.19126087143815343
0.54,6.466238111715714,4.0,6.320458805257911,0.14875956148610606
0.58,6.560939969856407,4.0,6.178332644514525,0.10584148880872547
0.62,5.71456595877416,4.0,5.975105943553006,0.06499153869500901
0.66,6.36829489942174,4.0,5.713226720175454,0.028427152220535074
0.7,5.200232747828072,4.0,5.39606797749979,-0.0020354948790656524
0.74,4.805391713781025,4.0,5.027874509685645,-0.025088018834039993
0.78,4.757905914528048,4.0,4.613695958994759,-0.04000248621090552
0.82,4.704040987389188,4.0,4.159307179915988,-0.04666578927848081
0.86,3.6979555069195955,4.0,3.6711171662602915,-0.04557375764599232
0.9,3.160524415151302,4.0,3.1560679774997897,-0.037785581104914284
0.94,3.063556392789217,4.0,2.6215252583429,-0.024841634904246658
0.98,2.257520935210291,4.0,2.0751620781172546,-0.008650117166645082
0.02,3.367376051752734,5.0,3.2271620781172534,0.023066609432742816
0.06,4.014840778457259,5.0,3.6775252583428983,0.06434984568008514
0.1,4.337784866556706,5.0,4.11606797749979,0.09144150616952385
0.14,4.616251777950737,5.0,4.5351171662602905,0.09605175043925535
0.18,5.0368991004406976,5.0,4.927307179915986,0.07156726181201356
0.22,5.077536619246598,5.0,5.285695958994759,0.01356651395397257
0.26,5.736355635615098,5.0,5.603874509685646,-0.07980841596997856
0.3,5.523732162363935,5.0,5.8760679774997895,-0.20764833224877777
0.34,5.4290671545926354,5.0,6.097226720175454,-0.3662558597768272
0.38,5.332526321109519,5.0,6.263105943553006,-0.549309393821866
0.42,5.585824551951642,5.0,6.370332644514525,-0.7482028370764997
0.46,5.627704517984229,5.0,6.416458805257912,-0.9525406834425545
0.5,4.58329366459384,5.0,6.4,-1.1507580608400998
0.54,4.600711804535476,5.0,6.320458805257911,-1.3308272961886523
0.58,4.841044867787965,5.0,6.178332644514525,-1.4810069234490149
0.62,4.607139187917087,5.0,5.975105943553006,-1.590586178009107
0.66,3.855225821958744,5.0,5.713226720175454,-1.6505780918801778
0.7,4.028030055775006,5.0,5.39606797749979,-1.654317323018423
0.74,3.3130198961891137,5.0,5.027874509685645,-1.5979246322394869
0.78,2.656104273890096,5.0,4.613695958994759,-1.4806081027062965
0.82,2.8429916585642667,5.0,4.159307179915988,-1.304781268884406
0.86,2.5928844403028326,5.0,3.6711171662602915,-1.0759896542538447
0.9,2.438338596273781,5.0,3.1560679774997897,-0.8026491005966252
0.94,1.9018549754608998,5.0,2.6215252583429,-0.4956109621007605
0.98,1.751799811708535,5.0,2.0751620781172546,-0.1675800024181335
0.02,3.375774943520078,6.0,3.2271620781172534,-0.12819512720159815
0.06,3.5883399141817667,6.0,3.6775252583428983,-0.3787824417374952
0.1,3.376799862885161,6.0,4.11606797749979,-0.6122900408439154
0.14,3.8282696334682886,6.0,4.5351171662602905,-0.8184083427570904
0.18,4.868851783761545,6.0,4.927307179915986,-0.9883739482809759
0.22,4.569469360942266,6.0,5.285695958994759,-1.1154542337259077
0.26,4.410002877541247,6.0,5.603874509685646,-1.1953081408080604
0.3,4.690205512613109,6.0,5.8760679774997895,-1.2262014754038555
0.34,4.930967604744517,6.0,6.097226720175454,-1.2090640934183816
0.38,4.751150733384181,6.0,6.263105943553006,-1.1473861971697668
0.42,5.732024598354437,6.0,6.370332644514525,-1.0469609724199171
0.46,5.121550507784115,6.0,6.416458805257912,-0.9154903373538074
0.5,5.907689941574566,6.0,6.4,-0.7620790527125488
0.54,5.414276481712224,6.0,6.320458805257911,-0.5966493261660535
0.58,5.565677759488124,6.0,6.178332644514525,-0.4293129033925497
0.62,4.999165526738765,6.0,5.975105943553006,-0.2697401700304753
0.66,5.5931622892360435,6.0,5.713226720175454,-0.12656583580863034
0.7,5.222254448992601,6.0,5.39606797749979,-0.006868333999371146
0.74,4.765893474167649,6.0,5.027874509685645,0.08424469872310814
0.78,4.4356034077471165,6.0,4.613695958994759,0.14391929315803803
0.82,4.329550411349375,6.0,4.159307179915988,0.1716891956097863
0.86,3.28540446533849,6.0,3.6711171662602915,0.16945338439602908
0.9,3.612824802418406,6.0,3.1560679774997897,0.1412992841532377
0.94,2.653857489257219,6.0,2.6215252583429,0.09318369230645324
