"x","pop","y"
0.7711535681263819,6213.0,6.0
0.48919196609199433,11983.0,36.0
0.5065970689013333,5689.0,14.0
0.7212463249561665,5769.0,6.0
0.24106579104698045,26550.0,144.0
0.7290088641909145,26050.0,29.0
0.09383884811042953,25052.0,96.0
0.439872897193581,12223.0,33.0
0.9412692517662202,4413.0,3.0
0.5206190176727672,4836.0,21.0
0.44219959983075796,14031.0,49.0
0.6686650944562098,8848.0,10.0
0.6891009206193806,4151.0,4.0
0.9463027273038311,10347.0,14.0
0.5409293001208679,12691.0,19.0
0.3043520104305657,10422.0,42.0
0.9010709859871371,4016.0,2.0
0.8966651456828669,3734.0,5.0
0.12929905139257825,9116.0,43.0
0.15168159514041157,22160.0,116.0
0.205500829608406,11789.0,66.0
0.42256772692699696,6486.0,25.0
0.5562218396945449,3376.0,10.0
0.18630809511366242,3769.0,20.0
0.5894016827775026,6279.0,10.0
0.7337333583875216,33152.0,28.0
0.5417024797634009,5834.0,8.0
0.5361089295435426,8545.0,23.0
0.7065115456712261,10309.0,12.0
0.7843245891168193,3756.0,6.0
0.32893882523023077,5012.0,31.0
0.8723546486778089,5487.0,11.0
0.8721137451344434,1918.0,3.0
0.7825705707024881,22478.0,18.0
0.3352921285453516,22121.0,126.0
0.759044816447767,5515.0,9.0
0.09063541569367639,13925.0,56.0
0.5626832559309825,8783.0,9.0
0.8951497062718361,22274.0,26.0
0.046426037287140565,5429.0,19.0
0.9923354093133803,2356.0,7.0
0.23603529610205132,7273.0,49.0
0.5679717489568519,5147.0,5.0
0.6620275089959993,2298.0,4.0
0.33251936530972404,7544.0,42.0
0.17221577325466741,5432.0,35.0
0.9894355473940137,16916.0,39.0
0.18726975732835083,5865.0,42.0
0.0738023241116812,11335.0,44.0
0.5354697080308877,14302.0,39.0
0.18366831336437772,5623.0,43.0
0.23188273472759025,5274.0,24.0
0.08203869717010304,20168.0,84.0
0.7677294903939793,12286.0,15.0
0.9515262942329628,9785.0,22.0
0.4352160512262644,14660.0,45.0
0.9739150089545001,7879.0,22.0
0.11693152927261163,4734.0,26.0
0.6689814710302371,2759.0,2.0
0.5980363255287062,16050.0,23.0
0.3064984985990389,12831.0,81.0
0.7754180503887238,4729.0,2.0
0.6299382744163615,12051.0,16.0
0.910250078604224,16369.0,30.0
0.3672326754582309,2280.0,14.0
0.9079943741007486,4851.0,9.0
0.32194758639284604,8976.0,48.0
0.2273954872856876,8548.0,59.0
0.6631669568818532,16896.0,26.0
0.1754799283722437,2450.0,12.0
0.9253984902158394,11441.0,22.0
0.3518080626143032,7523.0,55.0
0.1105633110479447,23271.0,112.0
0.1136026464949218,9170.0,23.0
0.8886004150704234,7691.0,7.0
0.8735169124772086,9266.0,12.0
0.9359996237012491,2765.0,3.0
0.6813370145065956,16806.0,13.0
0.6643159665625082,7141.0,6.0
0.39897512450354533,8818.0,42.0
0.5931041098007932,7677.0,17.0
0.4347779151093041,26600.0,91.0
0.15665371631433467,3118.0,11.0
0.8759719722069239,20053.0,16.0
0.9401151544038004,4475.0,5.0
0.23670591067933722,3909.0,12.0
0.2988952135611904,8742.0,55.0
0.21276852804863444,15783.0,93.0
0.9493552305460975,5888.0,11.0
0.32013591902952077,29867.0,139.0
0.45958622559215123,2130.0,7.0
0.3942989145779636,4195.0,15.0
0.8660769713788175,12947.0,18.0
0.42728575949292424,7313.0,28.0
0.7930948333515853,7920.0,13.0
0.38140357070209463,7004.0,36.0
0.751636372253845,11989.0,13.0
0.12027663883290751,4485.0,18.0
0.5805330630275065,19062.0,34.0
0.1823763743857083,5084.0,36.0
0.3893447488138422,3281.0,11.0
0.13297362931732182,7400.0,41.0
0.6868697566431372,12953.0,12.0
0.9936803961702074,7115.0,18.0
0.12598263407431154,4839.0,24.0
0.5476728833614917,11896.0,24.0
0.21492736458941075,5045.0,34.0
0.42857572271289324,19460.0,70.0
0.12614136997236214,2716.0,19.0
0.7326706610107641,3523.0,1.0
0.8813652170641819,22777.0,41.0
0.9083263469015626,8710.0,15.0
0.39879074810688464,4443.0,18.0
0.5174539698751208,11109.0,24.0
0.30267230023044855,9616.0,69.0
0.4827872369134927,7909.0,26.0
0.8738246073668381,18195.0,21.0
0.2523417040710465,9805.0,65.0
0.4811901881730185,10552.0,26.0
0.09116068131214328,4296.0,14.0
0.12628231725683192,4060.0,21.0
0.2678050287053173,4867.0,29.0
0.6117812599177845,5305.0,6.0
0.2385004459297213,4917.0,29.0
0.8985330621160601,3556.0,7.0
0.8447813148665553,10177.0,11.0
0.33161612465894397,4452.0,24.0
0.9062533273892102,2676.0,2.0
0.20394140917987058,22042.0,143.0
0.2272178979219095,2821.0,14.0
0.37105964318075446,18855.0,107.0
0.5132083939251315,16253.0,41.0
0.3167515806950796,22005.0,132.0
0.19408546292468754,5181.0,35.0
0.6130610834274577,6513.0,12.0
0.028983656483584364,8196.0,22.0
0.8996269301401036,2645.0,4.0
0.4422198166129043,38711.0,136.0
0.5293170064122412,7291.0,24.0
0.9861687593288759,8551.0,17.0
0.5099826066953606,3753.0,7.0
0.9118441883291044,18562.0,37.0
0.0726452063523697,4285.0,10.0
0.29452728392033456,4331.0,24.0
0.8340478066826291,5695.0,7.0
0.66576278606969,10569.0,13.0
0.4353337892400382,8977.0,27.0
0.7859551034598515,2656.0,2.0
0.08658376474287799,13969.0,56.0
0.7722558532391823,3509.0,5.0
0.279568634627408,12157.0,75.0
0.9110304591365435,5138.0,7.0
0.6605690193585128,46255.0,49.0
0.2884031134301468,20951.0,125.0
0.11256079507521255,5140.0,31.0
0.022894143056207517,6162.0,13.0
0.9793299711596752,24823.0,59.0
0.5683843551108876,7499.0,8.0
0.10138210831213712,21528.0,95.0
0.8279236056259358,19397.0,23.0
0.7474462476259274,3366.0,2.0
0.9786267224369853,9015.0,21.0
0.05657234175704051,6279.0,19.0
0.22638868959524783,12343.0,71.0
0.03305588360435263,23032.0,78.0
0.5742877570014486,13698.0,22.0
0.4496796234807525,4222.0,12.0
0.38535670901700136,16284.0,78.0
0.03631544768649486,18773.0,57.0
0.6794814865257399,3336.0,4.0
0.9110140622123306,23239.0,37.0
0.24753396194589272,10894.0,66.0
0.24907827205187694,3738.0,15.0
