"y","lat","lon","f_true"
-1.389077,62.637883,179.454594,-1.173077
1.239999,-17.393713,106.814366,1.284352
2.777678,-44.501804,146.815633,2.386803
2.218787,-52.252043,122.598933,1.655359
0.946206,-7.968649,-89.691248,0.987385
0.988685,-1.725731,-152.065571,1.105923
2.12585,-24.348848,121.468142,1.695381
1.165966,7.610186,36.482362,1.413365
1.385018,14.581415,-42.78939,1.682997
1.763162,8.667003,33.70936,1.484274
-0.111191,-17.22698,-23.911963,-0.079232
1.692053,-19.52575,138.838479,1.891119
1.415715,69.441408,32.030534,1.466148
1.167922,-71.750857,135.261257,1.158149
1.10664,-73.644385,160.51955,1.300538
0.874012,-16.758905,81.194169,0.788459
1.664496,-65.722107,154.658583,1.766101
1.658701,51.562478,46.745783,1.956333
-0.614114,-33.666747,-38.802953,-0.605954
-0.933832,58.919585,134.337164,-0.719744
0.865898,-14.623173,-83.479549,0.856646
1.874097,-17.070605,125.202312,1.603008
0.175806,9.091891,-139.963749,0.509577
1.113586,8.504095,-43.323419,1.414601
1.690603,20.133167,-67.135771,1.441166
0.958119,7.77361,148.0683,0.535863
0.822167,-13.569207,86.394458,0.914716
0.814214,-7.7715,11.15334,0.465014
-0.386315,-27.58005,-22.774496,-0.627159
0.247642,11.336938,-176.201289,0.211211
1.496988,-1.683975,30.475926,0.898305
0.96856,-13.538543,85.70278,0.903998
-0.206661,-23.167032,15.808412,-0.472674
-0.878194,44.918352,-132.679002,-0.647661
1.05851,-9.528007,69.252048,0.75488
-0.889655,-50.137785,36.255207,-0.945971
-0.091995,-7.534869,68.83522,0.803622
3.1413,-34.575791,174.849779,2.684881
0.933473,7.854179,-14.727759,1.51431
-0.528292,38.097418,132.860869,-0.534179
0.575988,-67.200867,83.948638,0.236867
0.274663,29.248742,114.957651,0.152986
0.451197,16.68303,-140.911077,0.104144
1.825052,-13.50744,-151.793533,1.772906
1.441491,6.893768,-67.274449,1.176906
1.028942,48.760082,-81.042147,0.967951
0.34697,36.347683,102.745638,0.384161
1.699023,24.995632,-49.706388,1.897022
0.456237,28.305253,-110.183151,0.304282
1.808154,-35.741276,-121.100397,1.791256
1.861354,63.588416,36.875265,1.719566
-0.013191,-22.528341,51.683102,0.045996
1.522395,-12.287237,-99.623122,1.116134
0.915647,72.600749,71.68715,0.657657
1.465142,-7.392692,169.248253,1.493126
0.757265,-41.983818,88.449043,0.689502
0.946346,-7.448859,-30.686677,0.549374
-0.78228,-74.856679,-74.422972,-0.009623
-0.302037,-53.397501,-60.285001,-0.352825
-0.381448,13.31731,174.068641,0.081311
-0.227218,86.995405,90.630885,0.050111
2.822346,-21.725013,-178.22695,2.303756
-0.825217,29.626473,129.064028,-0.213943
0.166437,36.618498,115.890173,-0.03356
0.216433,-8.06223,-38.19912,0.553607
0.635417,-2.647617,-42.070011,0.861917
0.861841,-0.201252,179.30724,1.014043
2.133796,-18.396529,-160.318887,2.076772
-0.646473,-60.568208,-49.173461,-0.627789
1.419466,-31.173859,102.237454,1.231107
0.023281,41.621165,126.524814,-0.434519
1.404047,-66.104777,161.779003,1.81217
-0.83029,-28.570691,28.7642,-0.594494
1.685532,10.436336,-77.810763,1.133913
0.650628,4.580046,-82.631866,1.037638
1.27151,-16.581942,112.219879,1.372149
0.951548,-8.924011,119.171296,1.286678
0.932363,39.047113,-94.115877,0.636168
0.632629,20.939904,109.295409,0.492774
1.208579,-8.659316,88.482876,0.972838
1.246332,9.434663,-74.063046,1.164077
0.624761,3.892819,139.224651,0.792521
1.108673,-4.794451,60.43573,0.832122
-0.988285,49.998675,127.475103,-0.555551
-0.387055,-33.774903,58.944664,-0.12231
-1.05697,-52.671156,39.435909,-0.883234
1.905711,52.605314,56.673734,1.66762
0.975117,1.788184,-14.103216,1.12051
-0.67708,-34.538924,43.348321,-0.534754
0.689647,-37.251824,-75.122086,0.30113
0.210225,-24.561646,-67.219675,0.323977
-0.783294,50.37583,-141.146053,-0.892404
0.493734,5.299486,100.483187,0.928793
0.926796,-62.056143,103.676557,0.860123
2.256224,10.274395,-34.248746,1.564248
-1.311432,38.391435,169.98812,-1.133585
-0.599806,-70.460265,-39.956013,-0.631987
1.741061,68.132757,18.931384,1.680302
1.799756,12.560341,-29.050422,1.718303
2.293503,-26.842299,-129.947966,1.927008
0.737997,-60.853308,106.431399,0.968346
2.525213,39.688104,13.893305,2.677742
0.42903,-9.584985,-80.851617,0.881623
2.140546,57.463593,-28.551607,2.130956
0.13295,18.574296,109.63655,0.542038
1.05129,-59.634974,-117.345548,1.306923
2.397497,-33.466143,-142.55623,2.295148
0.221876,-17.370627,-67.69416,0.521804
-0.793188,29.41586,151.407914,-0.631529
2.574142,31.938273,38.660232,2.250812
2.403649,43.323719,24.97683,2.537343
-0.211032,16.314978,-179.553334,-0.118658
1.423922,-8.386556,127.880047,1.343692
0.05249,22.203532,-103.580271,0.597234
0.377258,6.462178,-178.756929,0.546423
-0.308501,-60.539232,-63.369367,-0.275968
0.98498,7.0188,55.978048,1.263934
2.36828,-32.49411,138.8666,2.208542
2.324473,-47.239324,-169.141012,2.637128
0.4734,-16.318325,83.468637,0.837026
1.872087,19.16226,29.76495,2.021198
-0.640019,-23.120471,-19.988779,-0.43781
1.683435,-14.13642,176.453724,1.915245
0.085712,33.654724,-115.713212,0.03182
0.324632,-21.760261,69.120179,0.437887
0.182337,-86.752095,-60.133621,-0.056017
1.149493,-51.911119,-98.871556,0.916391
1.819691,13.425618,30.44573,1.75146
-0.931717,61.864461,95.605988,0.309072
-1.47162,39.730118,172.995616,-1.182518
1.654201,-57.202348,-129.885011,1.70958
0.226215,77.816448,-60.886594,0.612519
0.505743,73.195718,-53.66399,0.945042
1.738231,58.060384,-42.820174,1.846181
1.389396,-68.770127,-150.982213,1.54277
-0.049884,-25.752426,-39.697022,-0.30373
1.824078,17.424523,-40.101944,1.828264
0.304414,-9.693847,-14.068798,0.341719
0.26872,35.303411,-95.835692,0.624289
1.239322,-3.916011,114.817631,1.112058
0.027018,31.176547,-111.980319,0.192469
1.215596,25.720432,95.730333,0.744769
-0.230564,-26.375884,-64.424379,0.208611
-0.036955,29.671848,126.908637,-0.164345
-1.304619,34.913003,166.088538,-1.002213
-1.400253,-41.528033,-8.700666,-1.213852
1.697207,-37.849346,106.334349,1.33468
-1.074357,-50.954033,-15.42638,-1.256513
1.936147,20.551366,-51.410189,1.756466
1.339247,-59.74181,111.988861,1.155771
-0.991095,53.090195,-147.332695,-1.01639
0.758987,14.566855,-101.131586,0.77987
-0.456128,-57.560829,-42.558073,-0.79743
1.563742,-13.137528,-139.950393,1.651561
0.145018,41.261706,-112.832748,-0.017782
0.548635,-72.00221,-73.436538,-0.026112
3.130301,-34.881656,150.44356,2.452684
-0.525446,-54.662269,-42.789673,-0.806618
2.585045,44.132449,31.717129,2.41826
2.766276,42.927241,16.350658,2.646312
0.977959,-0.312649,45.392822,0.984658
0.527669,-13.616733,80.976959,0.828355
1.92976,-25.79881,134.755032,2.003853
0.57331,9.975568,139.096041,0.46909
1.815429,48.363856,49.275085,1.960269
1.066888,22.15704,86.189322,1.01901
2.136998,34.877769,-24.667314,2.525591
-0.81612,-52.671885,-38.408685,-0.904958
0.890125,-31.152555,-83.843493,0.665877
2.707996,-34.71125,-158.139981,2.559795
1.89301,-35.78213,-126.922912,1.951065
-0.697643,-26.583321,-21.062826,-0.599528
0.807446,6.947356,99.161497,0.916189
0.995764,78.591743,31.528213,0.858875
0.740267,7.133335,93.422093,0.96284
0.54031,17.741157,-136.541489,0.109775
0.492102,-10.689721,-65.978468,0.68585
1.219922,-5.032392,-154.356546,1.311242
-0.263254,-70.180764,52.130255,-0.44417
0.32171,-57.483011,80.683871,0.244039
-1.225825,55.933559,176.145878,-1.291749
0.812153,56.758457,73.785569,1.060251
0.674292,51.410629,-93.104729,0.518113
2.758735,51.44785,10.445058,2.540477
1.473492,-61.205138,147.159457,1.900294
0.472105,-30.172726,-89.326615,0.844088
0.68236,-15.515317,-59.127062,0.43452
1.132735,-59.274365,99.811388,0.810299
2.966736,-26.513138,165.346583,2.440684
0.152583,57.080374,103.414716,0.120112
1.638036,-0.705604,86.567515,0.996975
2.465036,-58.172125,164.81995,2.25712
1.82972,-59.979097,-146.393409,1.943475
2.090757,58.361694,26.235296,2.12691
-1.67868,46.751403,165.225954,-1.2451
1.317885,42.447618,57.86702,1.797448
0.015344,-15.980278,-0.558931,-0.097264
0.66769,-17.805251,-65.668869,0.472298
