sigma_obs,sigma_s1,beta_intercept
0.31611383453924574,1.60487221136425,-0.09777738258456052
0.29030109004389243,1.7367234340621258,-0.1038665687819334
0.29506174384606826,1.725547388503081,-0.12275356242022391
0.32824908461329994,1.4749316047364083,-0.12361350675453021
0.3085197884111989,1.312221025014586,-0.09165698436022071
0.3109203421795696,1.4166607591129272,-0.07758697310962143
0.31035209548881265,1.3557396140455162,-0.1200470595225423
0.3165227066122775,1.4243129059330433,-0.08480987132088914
0.2912168601237649,1.4348542878949873,-0.08397717470263599
0.34216862743580595,1.663892126121711,-0.14124594939585508
0.3185738895582726,1.5183672752393627,-0.11740676248404965
0.31152421450511386,1.5683531077419401,-0.0992263440655924
0.31138398563863057,1.378789196663252,-0.0978162912208282
0.32439601452149897,1.5237933478476355,-0.09702030413714069
0.336383981161284,1.4208084572824886,-0.10970739008058324
0.32993466776016395,1.366981150063832,-0.09631291662123122
0.3307385544149449,1.3042220360044796,-0.10627391702645334
0.31963777281773886,1.5370123620093363,-0.12474414607896914
0.3010407559673263,1.7200342186548256,-0.1365699212747766
0.3003374622611545,1.6248452344490498,-0.12790524501173378
0.3179431007216406,1.5766295729717696,-0.09921297365624394
0.29348106754083664,1.7693836110938215,-0.08321283664015745
0.2860695658902694,2.1502016062522813,-0.08713605865476104
0.3453740152728512,1.1165072122113988,-0.145156884753226
0.3303033186745549,1.4278947157344324,-0.10759328858868591
0.3014742947944625,1.3556030990055232,-0.15630548808621467
0.3067602327001672,1.1644917168871216,-0.11630764092812707
0.3306880137189905,1.130517499973301,-0.1121322165329781
0.2889212730716495,0.894601740786962,-0.1126624492031882
0.29465755663975757,1.0756144839152766,-0.09435793938288356
0.2952748153392601,0.9426933143611439,-0.10520784544740584
0.3178635597263173,1.01273960118574,-0.12174836496069001
0.30801895827358466,1.573023298141923,-0.1478254371439903
0.323407729312712,1.1858168707947312,-0.07590590765158799
0.3186789460346158,0.7115664040635465,-0.11439556071574603
0.3016372324729268,0.6846728920692542,-0.11181983342146819
0.30423631538247675,0.7531830719889777,-0.12426698573581699
0.37401601227327286,1.287105762304023,-0.13133400334470915
0.2933939545221608,1.2224905378852378,-0.11261252855268647
0.31804990535463634,1.0004606223827466,-0.1308894923349781
0.3243215547110312,1.5974645122403526,-0.07226413153907754
0.361187877518315,1.0994842751804903,-0.1277161247945498
0.30232287643433675,1.7921765187356884,-0.09346434294162759
0.31296496259507256,1.5062657759497375,-0.12368857176928726
0.3226793213029326,1.5436860961433543,-0.10562345632853047
0.32144457501807816,1.2072819409802509,-0.09849119715257444
0.3050998278783094,0.987851181304321,-0.12134843935357931
0.30227887309100504,0.9530432700468204,-0.09606280022037063
0.3013061381125257,1.001177218101873,-0.0979301866641483
0.3194153793199923,1.5330773524167103,-0.12751971188870578
0.3192043062331202,1.4660574172360308,-0.13287284495709803
0.3248163449817609,1.808574641219175,-0.17835648290628722
0.33003339184585334,1.813755784919697,-0.11266643845789837
0.31255613012941885,1.681829723126338,-0.11808284294630929
0.2928263498000465,1.537376024337652,-0.12005509363816828
0.3011087350755765,1.806971216330625,-0.09963197281417369
0.2820479152948621,1.7359915526623786,-0.06735133946357527
0.28958647342541005,1.942570802363469,-0.07840650994550907
0.2953994271774691,1.7390587484833642,-0.08629600923193231
0.3168345526348867,1.9226222576333767,-0.0902120092893158
0.32982945640405736,2.0444568320683456,-0.1099595912586531
0.2801757586498229,1.2359805347714377,-0.11366980815104219
0.34902167023458147,2.7370964076052173,-0.11110406263699456
0.35109121893584105,2.3921796280509637,-0.1114405550606663
0.3233015366119374,1.9660902894222334,-0.1234993747277498
0.3286469372014071,1.636899202576058,-0.1304248406767822
0.31722421352237196,1.5566516857325707,-0.10864949722745143
0.3178187628462332,1.2013420903267857,-0.11678323969829041
0.3135330048475883,1.4462302957578528,-0.13171905706502027
0.30665532677210133,1.203592327788278,-0.09850035710138877
0.32117125627116777,1.1725455676980374,-0.12909890416109043
0.30052057290239026,1.3276074387513213,-0.11685152918150975
0.35152426632187056,1.5896085040332093,-0.14793019287875173
0.3722035834988691,1.2227673238133967,-0.13143515829492086
0.346798998695466,1.4360338614292973,-0.1367684322329272
0.29218725510305715,2.0425935308000733,-0.09491966939722414
0.30908163338077244,2.1858804540056735,-0.12179908510703667
0.2990110160556288,2.5614203517719742,-0.08779598276558133
