sigma_s1,beta_intercept
1.7274292504118105,0.9338233132568187
2.003306452023462,0.9741007206453594
2.5723261925869085,0.8892044348269352
1.657797941761258,0.9158621375035967
2.2022103269834097,0.9528657188753512
2.6827128213325593,0.8831380268743617
2.530030907148675,0.8765656575953403
2.533366973046261,0.8861373632126074
2.1760788819096866,0.9267311773767578
1.7307055407938738,1.0005559500850711
2.296302254831523,0.8574142936824759
2.299782072852013,0.8735949633668917
2.3222214038797833,0.879263055804621
1.476454786321311,0.9332016109702229
1.6533461675000223,0.8742239642721934
1.9414730266413258,0.9619225951956621
2.1415559043077215,0.8967385875853486
1.3264897061578613,0.9967109674578349
3.0931296561330686,0.8705848121819959
3.2426212506733094,0.8656325218159584
3.031037818977997,0.8687975937745342
3.523689578680255,0.8565873341462378
3.527832726293785,0.864942204477784
3.677393538373935,0.9015207512751172
3.140792980110641,0.9570336518296265
3.185286038871483,0.9777135344182959
3.0515372783419816,0.9839265907695959
2.397558579743739,0.9785801053850443
2.8033377627478355,0.8443215371570254
3.8239309685475824,0.9841723851533538
3.7739257531933394,0.9814888103042386
4.3322421759645575,0.9444378645478109
4.013979717582215,0.9898602455273452
2.968259354308819,0.8869451229298821
3.497870512193615,1.0122226551203308
3.8557052541625647,0.9731125345710933
3.7744951749314346,0.9612817014470219
3.9288939684265296,0.9561893538975416
3.601843728467533,0.8202865409482812
2.7939968786746827,0.8715887594261058
2.13125203060297,0.9361117120946416
2.2907997131707507,0.9102685195589154
1.2432891654142955,0.9047278172250848
2.467276174644942,0.9337554444611781
3.055493111784203,0.9109650947000095
1.7850880729034189,0.9362452836053364
2.2273052458626474,0.9016509233524302
1.6481728577274966,0.9301334738248886
1.1178160433656847,0.9414034316697083
1.2560061543780046,0.9047071868685428
3.1049792469647697,0.9000292804125262
1.8835814744619215,0.9122270837839268
2.0992513227463427,0.8715488969474827
1.8747164555533873,0.958251251943687
1.9154244217749763,0.9213979626475582
1.812302349643404,0.7786152925192709
1.7834719054570016,1.0507834954989812
1.9162673200769618,1.0218185081794187
1.7768045266648669,1.0200526800956597
1.7718209034116614,1.0073352866067302
